name,position_desc
python开发,"1、 本科及以上学历，计算机相关专业，具有3年以上开发经验，熟悉软件工程规范；
2、 精通Python语言，熟练掌握Flask，Tornado，Django框架，深入理解框架实现原理及特性；
3、 熟练掌握postgresql/mysql/sqlServer等关系型数据库，懂得sql性能优化；
4、熟悉常用的设计模式，有性能优化、代码重构经验优先；
5、热爱制造业，意愿加入工业数字化建设队伍，责任心强，善于沟通，不惧挑战。
岗位职责：
1、完成系统后端的编码工作;
2、对现有产品进行性能优化和代码优化;
3、进行产品相关的新技术/新工具调研;
4、撰写开发文档、code review、以及缺陷修复；
5、完成复杂软件系统的分析、设计、开发与交付，能快速建立国际一流水平软件设计方案；
6、具备系统分析员技能，能够对各种复杂业务系统和数据进行分析和挖掘，并能编写高质量设计文档和代码；
7、、能主持各种大型软件系统的开发，保证项目的开发代码质量和进度。
职能类别：
高级软件工程师
关键字：
软件开发
微信分享"
,
python开发,"1.负责相关软件模块的完善及性能调优工作;
2.进行源代码的单元测试和质量控制;
3.负责软件相关文档编写以及维护。

职位要求：
1.计算机软件或相关专业，具备1年以上软件行业工作经验;
2.熟悉python，有实际项目开发经验;
3.至少熟悉一种web框架 (Django，flask, Tornado等)，具有独立完成项目开发的能力;
4.熟悉linux环境下的调试、排错、优化、部署等;
5.熟悉常用数据结构算法;
6.自我学习能力强，分析解决问题能力强，善于沟通交流，有责任感，有团队协作精神。
该岗位同时面向招收条件优秀的本科或以上学历实习生


职能类别：
软件工程师
微信分享"
,
python开发,"备注：本职位为代研究院产业化公司英集动力团队发布
岗位描述
1、负责公司项目各功能模块服务打包部署工作； 
2、负责公司项目数据分析相关软件的功能设计与开发，包括工业数据挖掘、数据建模、优化算法等； 
3、承接具体项目或技术路线对数据分析和统筹的开发需求，并协助解决项目问题以及完成技术路线的制定； 
4、熟练使用Python机器学习算法进行数学建模、模型评估等工作。
任职要求
1、精通python编程，会C/C++/java/Matlab等其他编程语言优先考虑； 
2、能熟练使用SQL，熟悉postgresql数据库优先考虑； 
3、有数据清洗的项目经历； 
4、了解常用的数据建模、时间序列数据模型、优化算法； 
5、有工业领域的数据分析、数据建模等经验为佳； 
6、有过时序数据库开发经验优先。
职能类别：
Python开发工程师
微信分享"
,
python开发,"任职要求：（懂爬虫，有爬虫经营者 ）
1、Python主程序员，专科或本科及以上学历，有3年以上相关项目经验；
2、熟悉Windows、Linux系统，精通Python以及常用的应用服务：Apache，Nginx部署；
3、掌握至少一种python框架：Django/Flask/Tornado；
4、具备数据库设计能力，精通掌握MySql/SQLServer者优先；
5、具有良好的设计思想及良好的制作习惯，有较好的分析判断能力、沟通表达能力和理解能力，自学能力强；
6、具有良好的职业素养及团队协作能力，具有强烈的责任心和工作耐心。
7、了解或熟悉HTML、CSS、Javascript等前端技术优先。
职能类别：
Python开发工程师
关键字：
python爬虫软件工程师开发工程师
微信分享"
,
python开发,"岗位职责：
1. 负责公司物联网系统的后台开发和维护,负责业务平台后台功能研发及维护等各项工作；
2.能按时、独立、高质量地完成工作，对自己的代码要求严格；
3.参与系统设计讨论，负责编写概要设计文档、详细设计文档等相关技术文档；
4.配合前端工程师，编写并实现相关API接口。

岗位要求：
1、 本科及以上学历，计算机软件或相关专业；
2、 具备3年网站开发经验，精通Python，熟悉Django、Flask优先
3、 熟悉C++语言、golang语言优先；
4、 有团队合作开发经验，熟练使用Git；
5、 具有创新意识，逻辑思维强，对自身技术提升有强烈的学习欲望；
6、 善于沟通，具有良好的团队合作精神和高度的责任感；
7、 有耐心钻研的态度，能独立分析并及时解决线上服务问题；
8、 对高并发、高可用的架构有了解，具有分布式架构的研发能力优先；
9、 熟练使用Linux操作系统、数据库、缓存、MQ队列、Docker容器优先。

公司福利：
福利政策：
1、设有餐厅饭堂；
2、可解决住宿问题；（单独住）
3、高于年底双薪的年终奖
3、完善的培训体系，为员工量身定做培训课程；
4、按国家规定购买养老、工伤、医疗、生育、失业保险，另外增加一个商业保险；
5、按规定享受法定假、婚假、产假等有薪假期；
6、在公司服务满1年可享受5天有薪年假；
7、丰富多彩的员工活动，不定期举办员工外出旅游，丰富员工生活。
总部地址：广州市白云区石井镇环窖村朗环围直街16号（未来计划搬迁至番禺区丰驰天下创意园）
职能类别：
Python开发工程师
关键字：
pythondjangoc++
微信分享"
,
python开发,"1、本科及以上学历，计算机、软件工程、信息管理、计算机应用相关专业优先 ；
2、熟悉Python语言，有Python Web 开发经验，有大型系统架构经验、微服务经验者优先，熟悉 Kubernetes 者优先；
3、熟悉MySql/MongoDB/Redis等常用数据库或缓存的相关操作；
4、熟悉numpy/pandas等模块的使用
5、熟练掌握数据库设计和性能优化 ；
6、有扎实的技术功底，做到知其然并知其所以然，能读懂python主流框架源码 ；
7、熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息等机制；能对分布式常用技术进行合理应用，解决问题；
8、有强烈的责任心，具有owner精神，主动承担，并有良好的抗压能力，深入思考并解决问题，能接受外派出差者优先；
职能类别：
Python开发工程师
微信分享"
,
